word,pinyin
保养,bǎoyǎng
保卫,bǎowèi
保姆,bǎomǔ
保存,bǎocún
保守,bǎoshǒu
保密,bǎomì
保护,bǎohù
保持,bǎochí
保温,bǎowēn
保留,bǎoliú
保管,bǎoguǎn
保证,bǎozhèng
保重,bǎozhòng
保险,bǎoxiǎn
保障,bǎozhàng
信,xìn
信仰,xìnyǎng
信件,xìnjiàn
信任,xìnrèn
信号,xìnhào
信封,xìnfēng
信心,xìnxīn
信念,xìnniàn
信息,xìnxī
信用,xìnyòng
信誉,xìnyù
信贷,xìndài
信赖,xìnlài
俩,liǎ
修,xiū
修养,xiūyǎng
修复,xiūfù
修建,xiūjiàn
修改,xiūgǎi
修正,xiūzhèng
修理,xiūlǐ
修筑,xiūzhù
修订,xiūdìng
俯,fǔ
俱乐部,jùlèbù
倍,bèi
倍数,bèishù
倒,dǎo
倒是,dàoshì
倒爷,dǎoyé
倒腾,dǎoteng
倒退,dàotuì
倒闭,dǎobì
倒霉,dǎoméi
倘若,tǎngruò
候补,hòubǔ
候选人,hòuxuǎnrén
倚,yǐ
借,jiè
借助,jièzhù
借口,jièkǒu
借鉴,jièjiàn
倡议,chàngyì
债,zhài
债务,zhàiwù
值,zhí
值得,zhíde
值班,zhíbān
倾向,qīngxiàng
倾听,qīngtīng
倾斜,qīngxié
假,jiǎ
假使,jiǎshǐ
假冒,jiǎmào
假如,jiǎrú
假定,jiǎdìng
假期,jiàqī
假条,jiàtiáo
假若,jiǎruò
假装,jiǎzhuāng
假设,jiǎshè
偏,piān
偏偏,piānpiān
偏僻,piānpì
偏向,piānxiàng
偏差,piānchā
偏见,piānjiàn
做,zuò
做客,zuòkè
做工,zuògōng
做梦,zuòmèng
做法,zuòfǎ
停,tíng
停止,tíngzhǐ
停泊,tíngbó
停滞,tíngzhì
停留,tíngliú
停顿,tíngdùn
健全,jiànquán
健壮,jiànzhuàng
健康,jiànkāng
健美,jiànměi
偶尔,ǒu'ěr
偶然,ǒurán
偷,tōu
偷偷,tōutōu
偷税,tōushuì
偷窃,tōuqiè
偿,cháng
偿还,chánghuán
傍晚,bàngwǎn
储备,chǔbèi
储存,chǔcún
储蓄,chǔxù
储藏,chǔcáng
催,cuī
傻,shǎ
傻子,shǎzi
像,xiàng
像样,xiàngyàng
像棋,xiàngqí
僵,jiāng
儿女,érnǚ
儿子,érzi
儿童,értóng
允许,yǔnxǔ
元,yuán
元件,yuánjiàn
元旦,Yuándàn
元素,yuánsù
元首,yuánshǒu
兄,xiōng
兄弟,xiōngdi
充分,chōngfèn
充实,chōngshí
充当,chōngdāng
充沛,chōngpèi
充满,chōngmǎn
充足,chōngzú
兆,zhào
先,xiān
先前,xiānqián
先后,xiānhòu
先生,xiānsheng
先行,xiānxíng
先进,xiānjìn
先锋,xiānfēng
光,guāng
光临,guānglín
光亮,guāngliàng
光彩,guāngcǎi
光明,guāngmíng
光棍儿,guānggùnr
光滑,guānghua
光线,guāngxiàn
光芒,guāngmáng
光荣,guāngróng
光辉,guānghuī
克,kè
克服,kèfú
免,miǎn
免得,miǎnde
免费,miǎnfèi
免除,miǎnchú
兑换,duìhuàn
兑现,duìxiàn
兔子,tùzi
党,dǎng
党中央,dǎngzhōngyāng
党员,dǎngyuán
党委,dǎngwěi
党性,dǎngxìng
党派,dǎngpài
党章,dǎngzhāng
兜,dōu
兜儿,dōur
兢兢业业,jīngjīngyèyè
入,rù
入侵,rùqīn
入口,rùkǒu
入境,rùjìng
入学,rùxué
入手,rùshǒu
全,quán
全会,quánhuì
全体,quántǐ
全力,quánlì
全力以赴,quánlìyǐfù
全局,quánjú
全心全意,quánxīnquányì
全民,quánmín
全部,quánbù
全都,quándōu
全集,quánjí
全面,quánmiàn
八,bā
公,gōng
公债,gōngzhài
公共,gōnggòng
公共汽车,gōnggòngqìchē
公关,gōngguān
公分,gōngfēn
公务,gōngwù
公司,gōngsī
公告,gōnggào
公园,gōngyuán
公安,gōng'ān
公尺,gōngchǐ
公布,gōngbù
公平,gōngpíng
公开,gōngkāi
公式,gōngshì
公报,gōngbào
公斤,gōngjīn
公有,gōngyǒu
公有制,gōngyǒuzhì
公民,gōngmín
公然,gōngrán
公用,gōngyòng
公用电话,gōngyòngdiànhuà
公社,gōngshè
公约,gōngyuē
公认,gōngrèn
公证,gōngzhèng
公费,gōngfèi
公路,gōnglù
公道,gōngdao
公里,gōnglǐ
公顷,gōngqǐng
六,liù
兰花,lánhuā
共,gòng
共产主义,gòngchǎnzhǔyì
共产党,gòngchǎndǎng
共同,gòngtóng
共和国,gònghéguó
共性,gòngxìng
共计,gòngjì
共青团,Gòngqīngtuán
共鸣,gòngmíng
关,guān
关于,guānyú
关切,guānqiè
关头,guāntóu
关心,guānxīn
关怀,guānhuái
关照,guānzhào
关系,guānxi
关节炎,guānjiéyán
关键,guānjiàn
关闭,guānbì
兴,xīng
兴办,xīngbàn
兴奋,xīngfèn
兴建,xīngjiàn
兴旺,xīngwàng
兴起,xīngqǐ
兴趣,xìngqù
兴高采烈,xìnggāocǎiliè
兵,bīng
其,qí
其中,qízhōng
其他,qítā
其余,qíyú
其它,qítā
其实,qíshí
其次,qícì
其间,qíjiān
具,jù
具体,jùtǐ
具备,jùbèi
具有,jùyǒu
典型,diǎnxíng
典礼,diǎnlǐ
养,yǎng
养分,yǎngfèn
养成,yǎngchéng
养料,yǎngliào
养殖,yǎngzhí
养活,yǎnghuo
养育,yǎngyù
兼,jiān
兼任,jiānrèn
内,nèi
内在,nèizài
内地,nèidì
内容,nèiróng
内幕,nèimù
内心,nèixīn
内战,nèizhàn
内政,nèizhèng
内科,nèikē
内脏,nèizàng
内行,nèiháng
内部,nèibù
内阁,nèigé
册,cè
再,zài
再三,zàisān
再生产,zàishēngchǎn
再见,zàijiàn
再说,zàishuō
冒,mào
冒牌,màopái
冒进,màojìn
冒险,màoxiǎn
写,xiě
写作,xiězuò
军,jūn
军事,jūnshì
军人,jūnrén
军医,jūnyī
军备,jūnbèi
军官,jūnguān
军用,jūnyòng
军舰,jūnjiàn
军装,jūnzhuāng
军阀,jūnfá
军队,jūnduì
农业,nóngyè
农产品,nóngchǎnpǐn
农作物,nóngzuòwù
农具,nóngjù
农场,nóngchǎng
农户,nónghù
农村,nóngcūn
农民,nóngmín
农田,nóngtián
农药,nóngyào
农贸市场,nóngmàoshìchǎng
冠军,guànjūn
冤,yuān
冤枉,yuānwang
冬,dōng
冬天,dōngtiān
冬季,dōngjì
冬瓜,dōngguā
冰,bīng
冰棍儿,bīnggùnr
冰淇淋,bīngqilín
冲,chōng
冲击,chōngjī
冲破,chōngpò
冲突,chōngtū
冲锋,chōngfēng
决,jué
决不,juébù
决口,juékǒu
决定,juédìng
决心,juéxīn
决战,juézhàn
决策,juécè
决算,juésuàn
决议,juéyì
决赛,juésài
况且,kuàngqiě
冶炼,yěliàn
冶金,yějīn
冷,lěng
冷却,lěngquè
冷淡,lěngdàn
冷静,lěngjìng
冷饮,lěngyǐn
冻,dòng
冻结,dòngjié
净,jìng
净化,jìnghuà
凄凉,qīliáng
凄惨,qīcǎn
准,zhǔn
准则,zhǔnzé
准备,zhǔnbèi
准时,zhǔnshí
准确,zhǔnquè
准许,zhǔnxǔ
凉,liáng
凉快,liángkuai
凉水,liángshuǐ
凌晨,língchén
减,jiǎn
减产,jiǎnchǎn
减低,jiǎndī
减少,jiǎnshǎo
减弱,jiǎnruò
减轻,jiǎnqīng
凑,còu
凑合,còuhe
凑巧,còuqiǎo
凝固,nínggù
凝结,níngjié
凝视,níngshì
几,jǐ
几乎,jīhū
几何,jǐhé
凡,fán
凡是,fánshì
凤凰,fènghuáng
凭,píng
凯旋,kǎixuán
凳子,dèngzi
凶,xiōng
凶恶,xiōng'è
凶狠,xiōnghěn
凶猛,xiōngměng
凸,tū
凹,āo
出,chū
出世,chūshì
出事,chūshì
出产,chūchǎn
出入,chūrù
出动,chūdòng
出卖,chūmài
出去,chūqù
出发,chūfā
出发点,chūfādiǎn
出口,chūkǒu
出名,chūmíng
出品,chūpǐn
出售,chūshòu
出境,chūjìng
出差,chūchāi
出席,chūxí
出息,chūxi
出来,chūlái
出洋相,chūyángxiàng
出版,chūbǎn
出现,chūxiàn
出生,chūshēng
出神,chūshén
出租,chūzū
出租汽车,chūzūqìchē
出色,chūsè
出访,chūfǎng
出路,chūlù
出身,chūshēn
出门,chūmén
出院,chūyuàn
出难题,chūnántí
出面,chūmiàn
击,jī
函授,hánshòu
凿,záo
刀,dāo
刀刃,dāorèn
刀子,dāozi
刁,diāo
分,fēn
分别,fēnbié
分割,fēngē
分化,fēnhuà
分外,fènwài
分子,fènzi
分寸,fēncun
分工,fēngōng
分布,fēnbù
分批,fēnpī
分散,fēnsàn
分数,fēnshù
分明,fēnmíng
分期,fēnqī
分析,fēnxī
分歧,fēnqí
分母,fēnmǔ
分泌,fēnmì
分清,fēnqīng
分离,fēnlí
分类,fēnlèi
分红,fēnhóng
分裂,fēnliè
分解,fēnjiě
分辨,fēnbiàn
分辩,fēnbiàn
分配,fēnpèi
分量,fēnliàng
分钟,fēnzhōng
分队,fēnduì
切,qiē
切实,qièshí
刊物,kānwù
刊登,kāndēng
刑,xíng
刑事,xíngshì
刑场,xíngchǎng
刑法,xíngfǎ
划,huà
划分,huàfēn
列,liè
列举,lièjǔ
列入,lièrù
列席,lièxí
列车,lièchē
则,zé
刚,gāng
刚刚,gānggāng
刚才,gāngcái
创,chuàng
创业,chuàngyè
创作,chuàngzuò
创办,chuàngbàn
创建,chuàngjiàn
创新,chuàngxīn
创立,chuànglì
创造,chuàngzào
初,chū
初中,chūzhōng
初期,chūqī
初步,chūbù
初级,chūjí
删,shān
判决,pànjué
判处,pànchǔ
判定,pàndìng
判断,pànduàn
刨,páo
利,lì
利弊,lìbì
利息,lìxī
利润,lìrùn
利用,lìyòng
利益,lìyì
别,bié
别人,biéren
别处,biéchù
别字,biézì
别扭,bièniu
别的,biéde
刮,guā
到,dào
到_为止_,dào_wéizhǐ_
到处,dàochù
到底,dàodǐ
到期,dàoqī
到来,dàolái
到达,dàodá
制,zhì
制作,zhìzuò
制品,zhìpǐn
制定,zhìdìng
制度,zhìdù
制服,zhìfú
制止,zhìzhǐ
制约,zhìyuē
制裁,zhìcái
制订,zhìdìng
制造,zhìzào
刷,shuā
刷子,shuāzi
券,quàn
刹车,shāchē
刹那,chànà
刺,cì
刺激,cìjī
刻,kè
刻苦,kèkǔ
剃,tì
削,xiāo
削减,xuējiǎn
削弱,xuēruò
前,qián
前人,qiánrén
前列,qiánliè
前后,qiánhòu
前天,qiántiān
前头,qiántou
前年,qiánnián
前往,qiánwǎng
前所未有,qiánsuǒwèiyǒu
前提,qiántí
前方,qiánfāng
前景,qiánjǐng
前期,qiánqī
前程,qiánchéng
前线,qiánxiàn
前赴后继,qiánfùhòujì
前辈,qiánbèi
前边,qiánbiān
前进,qiánjìn
前途,qiántú
前面,qiánmian
剥,bāo
剥削,bōxuē
剧,jù
剧团,jùtuán
剧场,jùchǎng
剧本,jùběn
剧烈,jùliè
剧院,jùyuàn
剩,shèng
剩余,shèngyú
剪,jiǎn
剪刀,jiǎndāo
剪彩,jiǎncǎi
副,fù
副业,fùyè
副作用,fùzuòyòng
副食,fùshí
割,gē
劈,pī
力,lì
力争,lìzhēng
力图,lìtú
力所能及,lìsuǒnéngjí
力气,lìqi
力求,lìqiú
力量,lìliang
劝,quàn
劝告,quàngào
劝说,quànshuō
劝阻,quànzǔ
办,bàn
办事,bànshì
办公,bàngōng
办公室,bàngōngshì
办学,bànxué
办法,bànfǎ
办理,bànlǐ
功,gōng
功劳,gōngláo
功夫,gōngfu
功效,gōngxiào
功绩,gōngjì
功能,gōngnéng
功课,gōngkè
加,jiā
加以,jiāyǐ
加入,jiārù
加剧,jiājù
加工,jiāgōng
加强,jiāqiáng
加急,jiājí
加油,jiāyóu
加深,jiāshēn
加热,jiārè
加班,jiābān
加紧,jiājǐn
加速,jiāsù
加重,jiāzhòng
务必,wùbì
劣,liè
动,dòng
动乱,dòngluàn
动人,dòngrén
动作,dòngzuò
动力,dònglì
动员,dòngyuán
动工,dònggōng
动态,dòngtài
动手,dòngshǒu
动摇,dòngyáo
动机,dòngjī
动物,dòngwù
动物园,dòngwùyuán
